"Part_ID","Task","Stimuli","cor","exp"
2006,"Free","Dots",-0.888888888888889,"Himba Adults 2022"
2008,"Free","Dots",-1,"Himba Adults 2022"
2009,"Free","Dots",1,"Himba Adults 2022"
2010,"Free","Dots",1,"Himba Adults 2022"
2011,"Free","Dots",-1,"Himba Adults 2022"
2012,"Free","Dots",-1,"Himba Adults 2022"
2014,"Free","Dots",0.0666666666666667,"Himba Adults 2022"
2015,"Free","Dots",1,"Himba Adults 2022"
2017,"Free","Dots",1,"Himba Adults 2022"
2019,"Free","Dots",0.0222222222222222,"Himba Adults 2022"
2020,"Free","Dots",0.0222222222222222,"Himba Adults 2022"
2022,"Free","Dots",0.222222222222222,"Himba Adults 2022"
2024,"Free","Dots",-0.511111111111111,"Himba Adults 2022"
2025,"Free","Dots",-1,"Himba Adults 2022"
2026,"Free","Dots",-0.244444444444444,"Himba Adults 2022"
2029,"Free","Dots",-1,"Himba Adults 2022"
2030,"Free","Dots",1,"Himba Adults 2022"
2031,"Free","Dots",1,"Himba Adults 2022"
2032,"Free","Dots",1,"Himba Adults 2022"
2033,"Free","Dots",-0.0666666666666667,"Himba Adults 2022"
2034,"Free","Dots",0.2,"Himba Adults 2022"
2038,"Free","Dots",0.111111111111111,"Himba Adults 2022"
2040,"Free","Dots",1,"Himba Adults 2022"
2041,"Free","Dots",0.0666666666666667,"Himba Adults 2022"
2043,"Free","Dots",-1,"Himba Adults 2022"
2045,"Free","Dots",0.0222222222222222,"Himba Adults 2022"
2046,"Free","Dots",0.0222222222222222,"Himba Adults 2022"
2048,"Free","Dots",-1,"Himba Adults 2022"
2049,"Free","Dots",-1,"Himba Adults 2022"
2050,"Free","Dots",-0.866666666666667,"Himba Adults 2022"
2052,"Free","Dots",-1,"Himba Adults 2022"
2053,"Free","Dots",-0.644444444444444,"Himba Adults 2022"
2056,"Free","Dots",-1,"Himba Adults 2022"
2057,"Free","Dots",-0.0666666666666667,"Himba Adults 2022"
2058,"Free","Dots",0.288888888888889,"Himba Adults 2022"
2059,"Free","Dots",0.0666666666666667,"Himba Adults 2022"
2060,"Free","Dots",-0.0222222222222222,"Himba Adults 2022"
2061,"Free","Dots",-1,"Himba Adults 2022"
2062,"Free","Dots",1,"Himba Adults 2022"
2064,"Free","Dots",0.955555555555556,"Himba Adults 2022"
2066,"Free","Dots",-0.377777777777778,"Himba Adults 2022"
2067,"Free","Dots",-0.111111111111111,"Himba Adults 2022"
2068,"Free","Dots",1,"Himba Adults 2022"
2071,"Free","Dots",-1,"Himba Adults 2022"
2072,"Free","Dots",1,"Himba Adults 2022"
2073,"Free","Dots",1,"Himba Adults 2022"
2074,"Free","Dots",1,"Himba Adults 2022"
2076,"Free","Dots",0.377777777777778,"Himba Adults 2022"
2077,"Free","Dots",-1,"Himba Adults 2022"
2078,"Free","Dots",1,"Himba Adults 2022"
2079,"Free","Dots",1,"Himba Adults 2022"
2080,"Free","Dots",-1,"Himba Adults 2022"
2081,"Free","Dots",1,"Himba Adults 2022"
2082,"Free","Dots",-0.955555555555556,"Himba Adults 2022"
2083,"Free","Dots",-0.777777777777778,"Himba Adults 2022"
2084,"Free","Dots",-1,"Himba Adults 2022"
2088,"Free","Dots",0.155555555555556,"Himba Adults 2022"
2089,"Free","Dots",0.688888888888889,"Himba Adults 2022"
2090,"Free","Dots",1,"Himba Adults 2022"
2095,"Free","Dots",1,"Himba Adults 2022"
2097,"Free","Dots",-0.955555555555556,"Himba Adults 2022"
2098,"Free","Dots",-1,"Himba Adults 2022"
2099,"Free","Dots",-0.0222222222222222,"Himba Adults 2022"
2108,"Free","Dots",1,"Himba Adults 2022"
2110,"Free","Dots",0.511111111111111,"Himba Adults 2022"
2112,"Free","Dots",1,"Himba Adults 2022"
2115,"Free","Dots",-0.955555555555556,"Himba Adults 2022"
