"participant_id","Task","condition","exp","mean_time","mean_error","invefi"
"01","Increasing","Congruent","Italian Adults",0.435678733333333,0,0.435678733333333
"01","Increasing","Incongruent","Italian Adults",0.374728133333333,0,0.374728133333333
"01","Decreasing","Incongruent","Italian Adults",0.4014294,0,0.4014294
"01","Decreasing","Congruent","Italian Adults",0.368128733333333,0,0.368128733333333
"02","Decreasing","Congruent","Italian Adults",0.514838,0,0.514838
"02","Increasing","Incongruent","Italian Adults",0.520704142857143,0.0666666666666667,0.557897295918367
"02","Increasing","Congruent","Italian Adults",0.533660266666667,0,0.533660266666667
"02","Decreasing","Incongruent","Italian Adults",0.520724428571429,0.0666666666666667,0.557919030612245
"03","Decreasing","Congruent","Italian Adults",0.613946066666667,0,0.613946066666667
"03","Increasing","Congruent","Italian Adults",0.614763933333333,0,0.614763933333333
"03","Increasing","Incongruent","Italian Adults",0.572482666666667,0,0.572482666666667
"03","Decreasing","Incongruent","Italian Adults",0.600641733333333,0,0.600641733333333
"04","Increasing","Congruent","Italian Adults",0.427466733333333,0,0.427466733333333
"04","Decreasing","Incongruent","Italian Adults",0.411349933333333,0,0.411349933333333
"04","Decreasing","Congruent","Italian Adults",0.449051466666667,0,0.449051466666667
"04","Increasing","Incongruent","Italian Adults",0.440539866666667,0,0.440539866666667
"06","Decreasing","Incongruent","Italian Adults",0.478268066666667,0,0.478268066666667
"06","Increasing","Incongruent","Italian Adults",0.467009866666667,0,0.467009866666667
"06","Increasing","Congruent","Italian Adults",0.4268202,0,0.4268202
"06","Decreasing","Congruent","Italian Adults",0.438523133333333,0,0.438523133333333
"07","Increasing","Incongruent","Italian Adults",0.515718533333333,0,0.515718533333333
"07","Decreasing","Incongruent","Italian Adults",0.432356,0,0.432356
"07","Decreasing","Congruent","Italian Adults",0.426954266666667,0,0.426954266666667
"07","Increasing","Congruent","Italian Adults",0.582832666666667,0,0.582832666666667
"08","Increasing","Incongruent","Italian Adults",0.4862452,0,0.4862452
"08","Increasing","Congruent","Italian Adults",0.522626133333333,0,0.522626133333333
"08","Decreasing","Congruent","Italian Adults",0.525703933333333,0,0.525703933333333
"08","Decreasing","Incongruent","Italian Adults",0.611436266666667,0,0.611436266666667
"10","Decreasing","Incongruent","Italian Adults",0.373983933333333,0,0.373983933333333
"10","Decreasing","Congruent","Italian Adults",0.3683494,0,0.3683494
"10","Increasing","Congruent","Italian Adults",0.346223133333333,0,0.346223133333333
"10","Increasing","Incongruent","Italian Adults",0.319273133333333,0,0.319273133333333
"101","Decreasing","Congruent","Italian Preschoolers",0.5628382,0,0.5628382
"101","Decreasing","Incongruent","Italian Preschoolers",0.790220357142857,0.0666666666666667,0.846664668367347
"101","Increasing","Congruent","Italian Preschoolers",0.5383944,0,0.5383944
"101","Increasing","Incongruent","Italian Preschoolers",0.527854,0,0.527854
"102","Decreasing","Congruent","Italian Preschoolers",1.11781092307692,0.133333333333333,1.28978183431953
"102","Decreasing","Incongruent","Italian Preschoolers",1.34004608333333,0.2,1.67505760416667
"102","Increasing","Congruent","Italian Preschoolers",1.10221064285714,0.0666666666666667,1.1809399744898
"102","Increasing","Incongruent","Italian Preschoolers",0.9154838,0,0.9154838
"1027","Decreasing","Congruent","Himba Adults 2021",1.31401314285714,0.125,1.50172930612245
"1027","Decreasing","Incongruent","Himba Adults 2021",1.0132424,0.166666666666667,1.21589088
"1028","Decreasing","Congruent","Himba Adults 2021",0.621725285714286,0.125,0.710543183673469
